,Model,p,Iteration,Clients per Round,Loss,Accuracy,V-Measure,Homogeneity,Completeness,NMI,Kappa
51,k-means,0.0,5,20,8.281024,0.4272,0.39710546167614835,0.42016689259491036,0.37644383044439544,0.39710546167614835,0.4021835676853833
52,k-means,0.0,5,30,8.281024,0.4272,0.39710546167614835,0.42016689259491036,0.37644383044439544,0.39710546167614835,0.4021835676853833
53,k-means,0.0,5,40,8.281024,0.4272,0.39710546167614835,0.42016689259491036,0.37644383044439544,0.39710546167614835,0.4021835676853833
54,k-means,0.0,5,50,8.281024,0.4272,0.39710546167614835,0.42016689259491036,0.37644383044439544,0.39710546167614835,0.4021835676853833
55,k-means,0.0,5,60,8.281024,0.4272,0.39710546167614835,0.42016689259491036,0.37644383044439544,0.39710546167614835,0.4021835676853833
56,k-means,0.0,5,70,8.281024,0.4272,0.39710546167614835,0.42016689259491036,0.37644383044439544,0.39710546167614835,0.4021835676853833
57,k-means,0.0,5,80,8.281024,0.4272,0.39710546167614835,0.42016689259491036,0.37644383044439544,0.39710546167614835,0.4021835676853833
58,k-means,0.0,5,90,8.281024,0.4272,0.39710546167614835,0.42016689259491036,0.37644383044439544,0.39710546167614835,0.4021835676853833
59,k-means,0.0,5,100,8.281024,0.4272,0.39710546167614835,0.42016689259491036,0.37644383044439544,0.39710546167614835,0.4021835676853833
60,k-means,0.0,6,10,8.269567,0.44094,0.40500996785407956,0.4286192165822027,0.3838658298753378,0.4050099678540795,0.4168975581353145
61,k-means,0.0,6,20,8.269567,0.44094,0.40500996785407956,0.4286192165822027,0.3838658298753378,0.4050099678540795,0.4168975581353145
62,k-means,0.0,6,30,8.269567,0.44094,0.40500996785407956,0.4286192165822027,0.3838658298753378,0.4050099678540795,0.4168975581353145
63,k-means,0.0,6,40,8.269567,0.44094,0.40500996785407956,0.4286192165822027,0.3838658298753378,0.4050099678540795,0.4168975581353145
64,k-means,0.0,6,50,8.269567,0.44094,0.40500996785407956,0.4286192165822027,0.3838658298753378,0.4050099678540795,0.4168975581353145
65,k-means,0.0,6,60,8.269567,0.44094,0.40500996785407956,0.4286192165822027,0.3838658298753378,0.4050099678540795,0.4168975581353145
66,k-means,0.0,6,70,8.269567,0.44094,0.40500996785407956,0.4286192165822027,0.3838658298753378,0.4050099678540795,0.4168975581353145
67,k-means,0.0,6,80,8.269567,0.44094,0.40500996785407956,0.4286192165822027,0.3838658298753378,0.4050099678540795,0.4168975581353145
68,k-means,0.0,6,90,8.269567,0.44094,0.40500996785407956,0.4286192165822027,0.3838658298753378,0.4050099678540795,0.4168975581353145
69,k-means,0.0,6,100,8.269567,0.44094,0.40500996785407956,0.4286192165822027,0.3838658298753378,0.4050099678540795,0.4168975581353145
70,k-means,0.0,7,10,8.278677,0.42506,0.3974398274244221,0.42045742392908336,0.3768115864615147,0.3974398274244221,0.40034969464781
71,k-means,0.0,7,20,8.278677,0.42506,0.3974398274244221,0.42045742392908336,0.3768115864615147,0.3974398274244221,0.40034969464781
72,k-means,0.0,7,30,8.278677,0.42506,0.3974398274244221,0.42045742392908336,0.3768115864615147,0.3974398274244221,0.40034969464781
73,k-means,0.0,7,40,8.278677,0.42506,0.3974398274244221,0.42045742392908336,0.3768115864615147,0.3974398274244221,0.40034969464781
74,k-means,0.0,7,50,8.278677,0.42506,0.3974398274244221,0.42045742392908336,0.3768115864615147,0.3974398274244221,0.40034969464781
75,k-means,0.0,7,60,8.278677,0.42506,0.3974398274244221,0.42045742392908336,0.3768115864615147,0.3974398274244221,0.40034969464781
76,k-means,0.0,7,70,8.278677,0.42506,0.3974398274244221,0.42045742392908336,0.3768115864615147,0.3974398274244221,0.40034969464781
77,k-means,0.0,7,80,8.278677,0.42506,0.3974398274244221,0.42045742392908336,0.3768115864615147,0.3974398274244221,0.40034969464781
78,k-means,0.0,7,90,8.278677,0.42506,0.3974398274244221,0.42045742392908336,0.3768115864615147,0.3974398274244221,0.40034969464781
79,k-means,0.0,7,100,8.278677,0.42506,0.3974398274244221,0.42045742392908336,0.3768115864615147,0.3974398274244221,0.40034969464781
80,k-means,0.0,8,10,8.272286,0.42986,0.3965617697989996,0.41974150192517906,0.37580820259847425,0.3965617697989996,0.40487005487437966
81,k-means,0.0,8,20,8.272286,0.42986,0.3965617697989996,0.41974150192517906,0.37580820259847425,0.3965617697989996,0.40487005487437966
82,k-means,0.0,8,30,8.272286,0.42986,0.3965617697989996,0.41974150192517906,0.37580820259847425,0.3965617697989996,0.40487005487437966
83,k-means,0.0,8,40,8.272286,0.42986,0.3965617697989996,0.41974150192517906,0.37580820259847425,0.3965617697989996,0.40487005487437966
84,k-means,0.0,8,50,8.272286,0.42986,0.3965617697989996,0.41974150192517906,0.37580820259847425,0.3965617697989996,0.40487005487437966
85,k-means,0.0,8,60,8.272286,0.42986,0.3965617697989996,0.41974150192517906,0.37580820259847425,0.3965617697989996,0.40487005487437966
86,k-means,0.0,8,70,8.272286,0.42986,0.3965617697989996,0.41974150192517906,0.37580820259847425,0.3965617697989996,0.40487005487437966
87,k-means,0.0,8,80,8.272286,0.42986,0.3965617697989996,0.41974150192517906,0.37580820259847425,0.3965617697989996,0.40487005487437966
88,k-means,0.0,8,90,8.272286,0.42986,0.3965617697989996,0.41974150192517906,0.37580820259847425,0.3965617697989996,0.40487005487437966
89,k-means,0.0,8,100,8.272286,0.42986,0.3965617697989996,0.41974150192517906,0.37580820259847425,0.3965617697989996,0.40487005487437966
90,k-means,0.0,9,10,8.270178,0.4279,0.39947281263465934,0.42277066288298637,0.37860862362990755,0.3994728126346593,0.404478744544178
91,k-means,0.0,9,20,8.270178,0.4279,0.39947281263465934,0.42277066288298637,0.37860862362990755,0.3994728126346593,0.404478744544178
92,k-means,0.0,9,30,8.270178,0.4279,0.39947281263465934,0.42277066288298637,0.37860862362990755,0.3994728126346593,0.404478744544178
93,k-means,0.0,9,40,8.270178,0.4279,0.39947281263465934,0.42277066288298637,0.37860862362990755,0.3994728126346593,0.404478744544178
94,k-means,0.0,9,50,8.270178,0.4279,0.39947281263465934,0.42277066288298637,0.37860862362990755,0.3994728126346593,0.404478744544178
95,k-means,0.0,9,60,8.270178,0.4279,0.39947281263465934,0.42277066288298637,0.37860862362990755,0.3994728126346593,0.404478744544178
96,k-means,0.0,9,70,8.270178,0.4279,0.39947281263465934,0.42277066288298637,0.37860862362990755,0.3994728126346593,0.404478744544178
97,k-means,0.0,9,80,8.270178,0.4279,0.39947281263465934,0.42277066288298637,0.37860862362990755,0.3994728126346593,0.404478744544178
98,k-means,0.0,9,90,8.270178,0.4279,0.39947281263465934,0.42277066288298637,0.37860862362990755,0.3994728126346593,0.404478744544178
99,k-means,0.0,9,100,8.270178,0.4279,0.39947281263465934,0.42277066288298637,0.37860862362990755,0.3994728126346593,0.404478744544178
100,k-means,0.0,10,10,8.276124,0.43446,0.4018522091221577,0.4253612670866529,0.38080566995444426,0.4018522091221577,0.41075100943507514
101,k-means,0.0,10,20,8.276124,0.43446,0.4018522091221577,0.4253612670866529,0.38080566995444426,0.4018522091221577,0.41075100943507514
102,k-means,0.0,10,30,8.276124,0.43446,0.4018522091221577,0.4253612670866529,0.38080566995444426,0.4018522091221577,0.41075100943507514
103,k-means,0.0,10,40,8.276124,0.43446,0.4018522091221577,0.4253612670866529,0.38080566995444426,0.4018522091221577,0.41075100943507514
104,k-means,0.0,10,50,8.276124,0.43446,0.4018522091221577,0.4253612670866529,0.38080566995444426,0.4018522091221577,0.41075100943507514
105,k-means,0.0,10,60,8.276124,0.43446,0.4018522091221577,0.4253612670866529,0.38080566995444426,0.4018522091221577,0.41075100943507514
106,k-means,0.0,10,70,8.276124,0.43446,0.4018522091221577,0.4253612670866529,0.38080566995444426,0.4018522091221577,0.41075100943507514
107,k-means,0.0,10,80,8.276124,0.43446,0.4018522091221577,0.4253612670866529,0.38080566995444426,0.4018522091221577,0.41075100943507514
108,k-means,0.0,10,90,8.276124,0.43446,0.4018522091221577,0.4253612670866529,0.38080566995444426,0.4018522091221577,0.41075100943507514
109,k-means,0.0,10,100,8.276124,0.43446,0.4018522091221577,0.4253612670866529,0.38080566995444426,0.4018522091221577,0.41075100943507514
110,k-means,0.0,11,10,8.287378,0.42194,0.39467267484357454,0.41741896119692246,0.3742772944090745,0.3946726748435746,0.39697935708222787
111,k-means,0.0,11,20,8.287378,0.42194,0.39467267484357454,0.41741896119692246,0.3742772944090745,0.3946726748435746,0.39697935708222787
112,k-means,0.0,11,30,8.287378,0.42194,0.39467267484357454,0.41741896119692246,0.3742772944090745,0.3946726748435746,0.39697935708222787
113,k-means,0.0,11,40,8.287378,0.42194,0.39467267484357454,0.41741896119692246,0.3742772944090745,0.3946726748435746,0.39697935708222787
114,k-means,0.0,11,50,8.287378,0.42194,0.39467267484357454,0.41741896119692246,0.3742772944090745,0.3946726748435746,0.39697935708222787
115,k-means,0.0,11,60,8.287378,0.42194,0.39467267484357454,0.41741896119692246,0.3742772944090745,0.3946726748435746,0.39697935708222787
116,k-means,0.0,11,70,8.287378,0.42194,0.39467267484357454,0.41741896119692246,0.3742772944090745,0.3946726748435746,0.39697935708222787
117,k-means,0.0,11,80,8.287378,0.42194,0.39467267484357454,0.41741896119692246,0.3742772944090745,0.3946726748435746,0.39697935708222787
118,k-means,0.0,11,90,8.287378,0.42194,0.39467267484357454,0.41741896119692246,0.3742772944090745,0.3946726748435746,0.39697935708222787
119,k-means,0.0,11,100,8.287378,0.42194,0.39467267484357454,0.41741896119692246,0.3742772944090745,0.3946726748435746,0.39697935708222787
120,k-means,0.0,12,10,8.2717495,0.43888,0.400336323806916,0.42391412745299056,0.37924309155146957,0.400336323806916,0.4151018147193778
121,k-means,0.0,12,20,8.2717495,0.43888,0.400336323806916,0.42391412745299056,0.37924309155146957,0.400336323806916,0.4151018147193778
122,k-means,0.0,12,30,8.2717495,0.43888,0.400336323806916,0.42391412745299056,0.37924309155146957,0.400336323806916,0.4151018147193778
123,k-means,0.0,12,40,8.2717495,0.43888,0.400336323806916,0.42391412745299056,0.37924309155146957,0.400336323806916,0.4151018147193778
124,k-means,0.0,12,50,8.2717495,0.43888,0.400336323806916,0.42391412745299056,0.37924309155146957,0.400336323806916,0.4151018147193778
125,k-means,0.0,12,60,8.2717495,0.43888,0.400336323806916,0.42391412745299056,0.37924309155146957,0.400336323806916,0.4151018147193778
126,k-means,0.0,12,70,8.2717495,0.43888,0.400336323806916,0.42391412745299056,0.37924309155146957,0.400336323806916,0.4151018147193778
127,k-means,0.0,12,80,8.2717495,0.43888,0.400336323806916,0.42391412745299056,0.37924309155146957,0.400336323806916,0.4151018147193778
128,k-means,0.0,12,90,8.2717495,0.43888,0.400336323806916,0.42391412745299056,0.37924309155146957,0.400336323806916,0.4151018147193778
129,k-means,0.0,12,100,8.2717495,0.43888,0.400336323806916,0.42391412745299056,0.37924309155146957,0.400336323806916,0.4151018147193778
130,k-means,0.0,13,10,8.281589,0.42674,0.39762263090830174,0.42043754286400775,0.37715635888402416,0.39762263090830174,0.4017378358916862
131,k-means,0.0,13,20,8.281589,0.42674,0.39762263090830174,0.42043754286400775,0.37715635888402416,0.39762263090830174,0.4017378358916862
132,k-means,0.0,13,30,8.281589,0.42674,0.39762263090830174,0.42043754286400775,0.37715635888402416,0.39762263090830174,0.4017378358916862
133,k-means,0.0,13,40,8.281589,0.42674,0.39762263090830174,0.42043754286400775,0.37715635888402416,0.39762263090830174,0.4017378358916862
134,k-means,0.0,13,50,8.281589,0.42674,0.39762263090830174,0.42043754286400775,0.37715635888402416,0.39762263090830174,0.4017378358916862
135,k-means,0.0,13,60,8.281589,0.42674,0.39762263090830174,0.42043754286400775,0.37715635888402416,0.39762263090830174,0.4017378358916862
136,k-means,0.0,13,70,8.281589,0.42674,0.39762263090830174,0.42043754286400775,0.37715635888402416,0.39762263090830174,0.4017378358916862
137,k-means,0.0,13,80,8.281589,0.42674,0.39762263090830174,0.42043754286400775,0.37715635888402416,0.39762263090830174,0.4017378358916862
138,k-means,0.0,13,90,8.281589,0.42674,0.39762263090830174,0.42043754286400775,0.37715635888402416,0.39762263090830174,0.4017378358916862
139,k-means,0.0,13,100,8.281589,0.42674,0.39762263090830174,0.42043754286400775,0.37715635888402416,0.39762263090830174,0.4017378358916862
140,k-means,0.0,14,10,8.269518,0.43206,0.4032853355587729,0.42697393563587827,0.3820870679550569,0.4032853355587729,0.40741353188063323
141,k-means,0.0,14,20,8.269518,0.43206,0.4032853355587729,0.42697393563587827,0.3820870679550569,0.4032853355587729,0.40741353188063323
142,k-means,0.0,14,30,8.269518,0.43206,0.4032853355587729,0.42697393563587827,0.3820870679550569,0.4032853355587729,0.40741353188063323
143,k-means,0.0,14,40,8.269518,0.43206,0.4032853355587729,0.42697393563587827,0.3820870679550569,0.4032853355587729,0.40741353188063323
144,k-means,0.0,14,50,8.269518,0.43206,0.4032853355587729,0.42697393563587827,0.3820870679550569,0.4032853355587729,0.40741353188063323
145,k-means,0.0,14,60,8.269518,0.43206,0.4032853355587729,0.42697393563587827,0.3820870679550569,0.4032853355587729,0.40741353188063323
146,k-means,0.0,14,70,8.269518,0.43206,0.4032853355587729,0.42697393563587827,0.3820870679550569,0.4032853355587729,0.40741353188063323
147,k-means,0.0,14,80,8.269518,0.43206,0.4032853355587729,0.42697393563587827,0.3820870679550569,0.4032853355587729,0.40741353188063323
148,k-means,0.0,14,90,8.269518,0.43206,0.4032853355587729,0.42697393563587827,0.3820870679550569,0.4032853355587729,0.40741353188063323
149,k-means,0.0,14,100,8.269518,0.43206,0.4032853355587729,0.42697393563587827,0.3820870679550569,0.4032853355587729,0.40741353188063323
150,k-means,0.0,15,10,8.272899,0.42896,0.39813083041537245,0.42086106801303913,0.37773005101362367,0.3981308304153725,0.4045563269777577
151,k-means,0.0,15,20,8.272899,0.42896,0.39813083041537245,0.42086106801303913,0.37773005101362367,0.3981308304153725,0.4045563269777577
152,k-means,0.0,15,30,8.272899,0.42896,0.39813083041537245,0.42086106801303913,0.37773005101362367,0.3981308304153725,0.4045563269777577
153,k-means,0.0,15,40,8.272899,0.42896,0.39813083041537245,0.42086106801303913,0.37773005101362367,0.3981308304153725,0.4045563269777577
154,k-means,0.0,15,50,8.272899,0.42896,0.39813083041537245,0.42086106801303913,0.37773005101362367,0.3981308304153725,0.4045563269777577
155,k-means,0.0,15,60,8.272899,0.42896,0.39813083041537245,0.42086106801303913,0.37773005101362367,0.3981308304153725,0.4045563269777577
156,k-means,0.0,15,70,8.272899,0.42896,0.39813083041537245,0.42086106801303913,0.37773005101362367,0.3981308304153725,0.4045563269777577
157,k-means,0.0,15,80,8.272899,0.42896,0.39813083041537245,0.42086106801303913,0.37773005101362367,0.3981308304153725,0.4045563269777577
158,k-means,0.0,15,90,8.272899,0.42896,0.39813083041537245,0.42086106801303913,0.37773005101362367,0.3981308304153725,0.4045563269777577
159,k-means,0.0,15,100,8.272899,0.42896,0.39813083041537245,0.42086106801303913,0.37773005101362367,0.3981308304153725,0.4045563269777577
160,k-means,0.0,16,10,8.27749,0.42776,0.3981819303908414,0.42119663493406306,0.37755202145340083,0.3981819303908414,0.40438956398089476
161,k-means,0.0,16,20,8.27749,0.42776,0.3981819303908414,0.42119663493406306,0.37755202145340083,0.3981819303908414,0.40438956398089476
162,k-means,0.0,16,30,8.27749,0.42776,0.3981819303908414,0.42119663493406306,0.37755202145340083,0.3981819303908414,0.40438956398089476
163,k-means,0.0,16,40,8.27749,0.42776,0.3981819303908414,0.42119663493406306,0.37755202145340083,0.3981819303908414,0.40438956398089476
164,k-means,0.0,16,50,8.27749,0.42776,0.3981819303908414,0.42119663493406306,0.37755202145340083,0.3981819303908414,0.40438956398089476
165,k-means,0.0,16,60,8.27749,0.42776,0.3981819303908414,0.42119663493406306,0.37755202145340083,0.3981819303908414,0.40438956398089476
166,k-means,0.0,16,70,8.27749,0.42776,0.3981819303908414,0.42119663493406306,0.37755202145340083,0.3981819303908414,0.40438956398089476
167,k-means,0.0,16,80,8.27749,0.42776,0.3981819303908414,0.42119663493406306,0.37755202145340083,0.3981819303908414,0.40438956398089476
168,k-means,0.0,16,90,8.27749,0.42776,0.3981819303908414,0.42119663493406306,0.37755202145340083,0.3981819303908414,0.40438956398089476
169,k-means,0.0,16,100,8.27749,0.42776,0.3981819303908414,0.42119663493406306,0.37755202145340083,0.3981819303908414,0.40438956398089476
170,k-means,0.0,17,10,8.27672,0.42398,0.40071132385373903,0.42368719136392147,0.38009916418712036,0.40071132385373903,0.39940731108668315
171,k-means,0.0,17,20,8.27672,0.42398,0.40071132385373903,0.42368719136392147,0.38009916418712036,0.40071132385373903,0.39940731108668315
172,k-means,0.0,17,30,8.27672,0.42398,0.40071132385373903,0.42368719136392147,0.38009916418712036,0.40071132385373903,0.39940731108668315
173,k-means,0.0,17,40,8.27672,0.42398,0.40071132385373903,0.42368719136392147,0.38009916418712036,0.40071132385373903,0.39940731108668315
174,k-means,0.0,17,50,8.27672,0.42398,0.40071132385373903,0.42368719136392147,0.38009916418712036,0.40071132385373903,0.39940731108668315
175,k-means,0.0,17,60,8.27672,0.42398,0.40071132385373903,0.42368719136392147,0.38009916418712036,0.40071132385373903,0.39940731108668315
176,k-means,0.0,17,70,8.27672,0.42398,0.40071132385373903,0.42368719136392147,0.38009916418712036,0.40071132385373903,0.39940731108668315
177,k-means,0.0,17,80,8.27672,0.42398,0.40071132385373903,0.42368719136392147,0.38009916418712036,0.40071132385373903,0.39940731108668315
178,k-means,0.0,17,90,8.27672,0.42398,0.40071132385373903,0.42368719136392147,0.38009916418712036,0.40071132385373903,0.39940731108668315
179,k-means,0.0,17,100,8.27672,0.42398,0.40071132385373903,0.42368719136392147,0.38009916418712036,0.40071132385373903,0.39940731108668315
180,k-means,0.0,18,10,8.276921,0.43852,0.40303634517583586,0.42675944715535685,0.3818118330689371,0.4030363451758358,0.4145658452526666
181,k-means,0.0,18,20,8.276921,0.43852,0.40303634517583586,0.42675944715535685,0.3818118330689371,0.4030363451758358,0.4145658452526666
182,k-means,0.0,18,30,8.276921,0.43852,0.40303634517583586,0.42675944715535685,0.3818118330689371,0.4030363451758358,0.4145658452526666
183,k-means,0.0,18,40,8.276921,0.43852,0.40303634517583586,0.42675944715535685,0.3818118330689371,0.4030363451758358,0.4145658452526666
184,k-means,0.0,18,50,8.276921,0.43852,0.40303634517583586,0.42675944715535685,0.3818118330689371,0.4030363451758358,0.4145658452526666
185,k-means,0.0,18,60,8.276921,0.43852,0.40303634517583586,0.42675944715535685,0.3818118330689371,0.4030363451758358,0.4145658452526666
186,k-means,0.0,18,70,8.276921,0.43852,0.40303634517583586,0.42675944715535685,0.3818118330689371,0.4030363451758358,0.4145658452526666
187,k-means,0.0,18,80,8.276921,0.43852,0.40303634517583586,0.42675944715535685,0.3818118330689371,0.4030363451758358,0.4145658452526666
188,k-means,0.0,18,90,8.276921,0.43852,0.40303634517583586,0.42675944715535685,0.3818118330689371,0.4030363451758358,0.4145658452526666
189,k-means,0.0,18,100,8.276921,0.43852,0.40303634517583586,0.42675944715535685,0.3818118330689371,0.4030363451758358,0.4145658452526666
190,k-means,0.0,19,10,8.288126,0.4352,0.4003956786183115,0.423441942062314,0.37972856092633644,0.4003956786183115,0.4109122315342689
191,k-means,0.0,19,20,8.288126,0.4352,0.4003956786183115,0.423441942062314,0.37972856092633644,0.4003956786183115,0.4109122315342689
192,k-means,0.0,19,30,8.288126,0.4352,0.4003956786183115,0.423441942062314,0.37972856092633644,0.4003956786183115,0.4109122315342689
193,k-means,0.0,19,40,8.288126,0.4352,0.4003956786183115,0.423441942062314,0.37972856092633644,0.4003956786183115,0.4109122315342689
194,k-means,0.0,19,50,8.288126,0.4352,0.4003956786183115,0.423441942062314,0.37972856092633644,0.4003956786183115,0.4109122315342689
195,k-means,0.0,19,60,8.288126,0.4352,0.4003956786183115,0.423441942062314,0.37972856092633644,0.4003956786183115,0.4109122315342689
196,k-means,0.0,19,70,8.288126,0.4352,0.4003956786183115,0.423441942062314,0.37972856092633644,0.4003956786183115,0.4109122315342689
197,k-means,0.0,19,80,8.288126,0.4352,0.4003956786183115,0.423441942062314,0.37972856092633644,0.4003956786183115,0.4109122315342689
198,k-means,0.0,19,90,8.288126,0.4352,0.4003956786183115,0.423441942062314,0.37972856092633644,0.4003956786183115,0.4109122315342689
199,k-means,0.0,19,100,8.288126,0.4352,0.4003956786183115,0.423441942062314,0.37972856092633644,0.4003956786183115,0.4109122315342689
200,k-means,0.0,20,10,8.279276,0.42576,0.398326369313792,0.4214537260296783,0.3776052086751688,0.39832636931379206,0.4014389302214362
201,k-means,0.0,20,20,8.279276,0.42576,0.398326369313792,0.4214537260296783,0.3776052086751688,0.39832636931379206,0.4014389302214362
